Name,Primary,Secondary,Rating,Team,MPG
Aaron Gordon,PF,SF,80,Magic,33.0
Aaron Holiday,PG,SG,75,Pacers,23.6
Abdel Nader,SF,PF,71,Thunder,15.8
Adam Mokoka,SG,SF,68,Bulls,10.2
Admiral Schofield,SF,SG,71,Wizards,10.8
Al Horford,PF,C,82,76ers,30.8
Al-Farouq Aminu,PF,SF,75,Magic,21.1
Alec Burks,SG,PG,78,76ers,27.3
Alen Smailagic,PF,C,71,Warriors,9.9
Alex Caruso,SG,PG,75,Lakers,17.8
Alex Len,C,,77,Kings,18.3
Alfonzo McKinnie,SF,PF,70,Cavaliers,14.8
Alize Johnson,PF,SF,70,Pacers,4.1
Amir Coffey,SF,PF,68,Clippers,7.5
Andre Drummond,C,,85,Cavaliers,33.0
Andre Iguodala,SG,SF,76,Heat,18.5
Andre Roberson,SG,SF,76,Thunder,0
Andrew Wiggins,SF,SG,82,Warriors,34.4
Anfernee Simons,PG,SG,72,Trail Blazers,21.5
Ante Zizic,C,,73,Cavaliers,10.0
Anthony Davis,PF,C,96,Lakers,34.3
Anthony Tolliver,PF,,72,Grizzlies,15.6
Antonius Cleveland,SG,SF,67,Mavericks,3.7
Anzejs Pasecniks,C,,73,Wizards,16.9
Aron Baynes,C,PF,79,Suns,22.2
Austin Rivers,PG,SG,75,Rockets,23.4
Avery Bradley,PG,SG,74,Lakers,24.2
B.J. Johnson,SF,PF,68,Magic,0
Bam Adebayo,C,PF,86,Heat,34.4
Ben McLemore,SF,SG,75,Rockets,22.8
Ben Simmons,PG,SF,88,76ers,35.7
Bismack Biyombo,C,,78,Hornets,19.4
Blake Griffin,PF,C,82,Pistons,28.5
Boban Marjanovic,C,,76,Mavericks,9.1
Bobby Portis,PF,C,78,Knicks,21.1
Bogdan Bogdanovic,SG,SF,79,Kings,28.5
Bojan Bogdanovic,PF,SF,81,Jazz,33.1
Bol Bol,C,,73,Nuggets,0
Brad Wanamaker,PG,SG,74,Celtics,19.3
Bradley Beal,SG,SF,89,Wizards,36.0
Brandon Clarke,PF,C,81,Grizzlies,21.7
Brandon Goodwin,PG,,70,Hawks,12.7
Brandon Ingram,SF,PF,86,Pelicans,34.3
Brandon Knight,PG,SG,72,Pistons,18.5
Brian Bowen,SG,SF,68,Pacers,0
Brook Lopez,C,,79,Bucks,26.6
Bruce Brown,SG,PG,75,Pistons,28.2
Bruno Caboclo,PF,C,68,Rockets,8.1
Bruno Fernando,C,,75,Hawks,12.7
Bryn Forbes,SG,PG,76,Spurs,25.1
Buddy Hield,SG,SF,82,Kings,32.0
Caleb Martin,SG,SF,69,Hornets,17.6
Caleb Swanigan,C,PF,70,Trail Blazers,10.7
